土层序号,土层名称,含水量（%）,密度（g/cm3）,比重,孔隙比,液限（%）,塑限（%）,塑性指数,压缩系数（MPa-1）,压缩模量（MPa）,固结快剪黏聚力（kPa）,固结快剪内摩擦角（°）
②1、②2,褐黄~灰黄色软黏土,25.4~40.5,1.79~1.98,2.72~2.75,0.73~1.14,30.1~43.8,17.6~24.1,11.5~21.0,0.20~0.65,3.00~7.22,8.5~28.5,12.7~26.2
②3,灰色粉性土、粉砂,36.0~43.0,1.76~1.93,2.69~2.72,0.75~1.17,,,,0.09~0.57,3.50~12.50,0~13.0,23.5~35.0
③1、③3,灰色淤泥质粉质黏土,36.0~49.7,1.71~1.86,2.72~2.74,1.00~1.36,29.6~40.1,17.8~23.0,10.3~17.0,0.30~1.03,2.20~5.97,8.5~14.2,12.1~28.0
④,灰色淤泥质黏土,40.0~59.6,1.64~1.79,2.73~2.76,1.12~1.67,34.4~50.2,19.0~26.0,17.0~25.1,0.55~1.65,1.32~3.58,11.5~15.7,8.5~16.9
⑤1,褐灰色黏性土,29.8~42.5,1.75~1.90,2.72~2.74,0.85~1.22,28.3~42.9,17.3~23.8,10.2~20.0,0.28~0.71,3.00~6.77,11.5~20.0,12.7~27.4
⑤2,灰色粉性土、粉砂,28.0~37.1,1.78~1.93,2.69~2.73,0.78~1.09,,,,0.12~0.47,4.50~11.50,0~14.2,23.5~37.0
⑤3,灰~褐灰色黏性土,28.1~40.0,1.78~1.91,2.72~2.74,0.82~1.15,28.3~41.6,17.0~24.3,10.4~18.6,0.22~0.52,4.00~17.50,10.0~24.3,15.5~28.7
⑤4,灰绿色黏性土,19.3~28.3,1.89~2.08,2.71~2.73,0.58~0.84,25.1~34.0,14.1~19.5,10.1~15.8,0.14~0.34,5.26~11.27,28.5~57.1,15.5~27.4
⑥1、⑥2,暗绿~草黄色黏性土,21.3~27.7,1.91~2.05,2.72~2.73,0.63~0.80,28.2~36.5,15.6~20.3,11.3~16.8,0.14~0.30,5.50~9.51,36.0~53.0,15.5~20.9
⑦1,草黄~灰色粉性土、粉砂,21.0~34.5,1.82~2.03,2.68~2.72,0.59~0.95,,,,0.08~0.30,6.50~18.27,0~10.0,27.5~38.5
⑦2,灰色粉细砂,19.5~34.1,1.84~2.03,2.68~2.70,0.59~0.92,,,,0.07~0.23,8.50~22.36,0~7.1,29.5~39.5
⑧1,灰色黏性土,29.9~40.7,1.78~1.91,2.71~2.75,0.84~1.17,29.2~43.7,17.2~23.6,10.9~21.0,0.19~0.50,4.00~8.82,14.3~28.6,16.9~28.7
⑧2,灰色粉质黏土、粉砂互层,22.2~38.5,1.82~2.00,2.70~2.74,0.66~1.08,22.8~43.1,13.7~23.5,8.1~20.0,0.13~0.40,4.50~11.00,8.6~28.6,18.2~27.4
