e,wl,wp,ccq,phicq,Es
0.797,39,21.7,29,14,4.21
0.949,38.8,21.3,17,12.5,3.23
0.789,40.1,22,27,14,5.4
0.833,40.5,22,24,15.5,4.85
0.915,40.8,22.4,21,15.5,3.6
0.978,39.2,21.7,17,14,3.52
0.814,32.1,19.5,19,26,6.75
0.786,32.1,19.3,19,27,7.07
0.867,32.4,19.7,14,25,5.67
0.793,31.9,18.7,19,25,5.76
0.79,33.5,19.7,17,26,5.82
0.879,34.9,20.7,29,19,5.5
0.786,32,19,17,25,6.47
0.917,35.8,19.8,24,17,4.25
0.818,32.2,19.1,19,26,6.71
0.807,32.5,19.3,17,22.5,5.8
0.819,32.7,19.2,17,22.5,5.62
0.901,33.8,20.4,16,25,5.4
0.83,42.1,23.2,29,15.5,3.97
0.927,38.5,21.2,19,15,3.12
0.901,41,22.5,24,14,4.17
0.938,38.9,21.8,20,15.5,3.56
0.881,34.5,19.6,26,20.5,4.28
0.911,33.9,19,16,17.5,3.48
0.802,34.6,19.4,26,17.5,3.97
0.78,39.1,21.8,29,15,4.35
0.95,38.9,21.8,21,16,3.13
0.765,39.2,20.1,29,14,4.16
0.91,34.6,19.4,24,16,3.16
0.835,34.7,19.7,24,20.5,5.67
0.857,34.8,21.3,14,25.5,6.36
0.919,32.8,20.6,14,23.5,4.73
0.947,33.7,20,14,24,5.74
0.901,34.9,21.1,14,25.5,6.57
0.864,32.2,19,14,24,5.81
0.908,32.4,19.8,14,24,6.56
0.913,34,21.7,14,25.5,5.98
0.916,35.2,22.8,14,27,5.95
0.748,31.8,17.8,21,23.5,7.15
0.861,31.9,18.8,14,23,5.05
0.895,33.6,20,14,23.5,5.73
0.89,34.2,22,14,24,5.82
0.918,33.2,19.8,14,24,5.5
0.897,34,21,14,23.5,5.74
0.838,33.5,21,14,24,6.29
0.875,35.4,20.4,26,19.5,5.11
0.901,33.4,20.9,14,22.5,6.44
0.907,36.7,22,24,16,5.75
0.98,32.6,21.9,14,23.5,5.08
0.927,35.1,19.2,21,17.5,4.77
0.916,34.6,20.7,14,24,4.86
0.952,36.1,21.9,21,15.5,5.3
0.977,39.2,20.4,21,17,4.75
0.946,34.7,21.9,14,25,5.21
0.947,32.4,18.5,14,23,5.86
1.138,33.7,20.8,10,25.5,5.05
1.123,34.2,21.6,10,24,3.45
0.875,33.4,20.1,14,23.5,5.67
0.895,34.8,19.5,29,17,4.49
0.915,35,20.6,19,17,4.8
0.91,35.8,22.1,14,24,6.43
0.732,31.9,18.4,21,25,6.23
